order_month,active_customers,total_orders,avg_order_value,unique_categories,avg_review_score
2017-06,3245,3245,120.62749101962004,60,4.1166067974578615
2017-12,5673,5673,117.87168902920617,63,3.948010778253289
2018-06,6167,6167,122.2411405985348,65,4.185027647809442
2018-01,7269,7269,115.65517850660035,67,3.937439261418853
2018-09,16,16,145.0,1,1.8
2018-02,6728,6728,109.82902856407985,64,3.7288245182982025
2017-07,4026,4026,109.81373493976163,62,4.109340899170668
2018-03,7211,7211,119.40315184513405,67,3.690603700097371
2017-04,2404,2404,133.9540178239883,58,3.997018263138278
2016-09,4,4,44.56,3,1.0
2017-01,800,800,125.34979296066214,44,4.049689440993789
2016-10,324,324,135.2434604904637,32,3.503978779840849
2017-09,4285,4285,128.8288119218944,66,4.117453798767968
2017-05,3700,3700,121.86504782400982,59,4.115255858440937
2018-07,6292,6292,126.14141110330608,65,4.221861319022737
2018-04,6939,6939,125.08052466817296,69,4.074457344775366
2018-05,6873,6873,125.65427347196334,64,4.125331984317693
2017-02,1780,1780,126.68859327216882,52,3.9969954932398597
2017-03,2682,2682,124.50685430463653,54,4.029334212261041
2017-11,7544,7544,116.59512315271355,66,3.8238525809774524
2018-08,6512,6512,117.89799310345164,64,4.199065805742547
2017-10,4631,4631,124.39358353511201,64,4.0310408921933085
2017-08,4331,4331,116.5570084609215,64,4.205947804976735
2018-10,4,4,,0,2.25
2016-12,1,1,10.9,1,5.0
