customer_state,order_month,total_orders,avg_delivery_days,avg_freight_cost,avg_order_value,percent_late_deliveries
AP,2017-06-01,2,25.5,58.519999999999996,126.35000000000001,0.0
RN,2017-11-01,41,20.73170731707317,37.179756097560976,200.3819512195121,0.1951219512195122
MA,2018-08-01,29,12.551724137931034,36.40448275862069,142.90689655172412,0.06896551724137931
PB,2018-04-01,28,23.785714285714285,46.468571428571416,150.54464285714286,0.21428571428571427
SC,2018-08-01,201,9.00497512437811,29.769004975124364,160.3031343283585,0.029850746268656716
AL,2018-07-01,22,23.40909090909091,38.01136363636363,175.28772727272727,0.18181818181818182
PA,2017-05-01,35,19.142857142857142,33.330285714285715,154.40399999999994,0.02857142857142857
ES,2016-10-01,3,24.666666666666668,44.00666666666667,286.59666666666664,0.0
TO,2018-08-01,13,12.153846153846153,56.887692307692305,148.1515384615385,0.15384615384615385
BA,2018-08-01,159,11.40880503144654,31.33169811320754,132.7915094339623,0.006289308176100629
RN,2017-03-01,13,31.846153846153847,27.913846153846155,133.97846153846154,0.23076923076923078
PA,2018-03-01,67,37.776119402985074,42.536119402985086,178.16731343283575,0.5074626865671642
RS,2018-05-01,350,13.374285714285714,26.37691428571427,144.29014285714302,0.02857142857142857
SP,2017-01-01,283,10.646643109540635,18.457385159010588,139.98141342756222,0.028268551236749116
DF,2017-02-01,21,11.80952380952381,24.228095238095243,469.4195238095237,0.0
RR,2016-10-01,1,9.0,29.32,39.7,0.0
PE,2017-06-01,41,19.21951219512195,39.486829268292674,133.87951219512195,0.04878048780487805
CE,2017-04-01,42,29.071428571428573,28.403809523809514,136.47214285714279,0.11904761904761904
MA,2017-08-01,38,19.07894736842105,42.80815789473684,157.87447368421047,0.05263157894736842
PR,2016-10-01,19,17.210526315789473,24.762631578947364,105.50578947368423,0.0
AC,2017-02-01,3,25.666666666666668,49.0,150.13333333333333,0.0
RO,2017-07-01,10,18.4,34.492,108.37200000000003,0.0
DF,2018-02-01,170,18.811764705882354,20.617117647058812,124.38517647058838,0.11764705882352941
PB,2018-02-01,35,19.314285714285713,45.489142857142866,135.73714285714283,0.08571428571428572
BA,2017-12-01,188,22.329787234042552,27.20840425531914,147.87111702127692,0.1276595744680851
PB,2017-01-01,2,11.5,26.665,204.89999999999998,0.0
PB,2017-05-01,17,17.11764705882353,33.1335294117647,165.24823529411762,0.058823529411764705
BA,2017-05-01,119,16.915966386554622,29.44907563025212,134.71983193277296,0.03361344537815126
TO,2017-04-01,13,22.615384615384617,45.894615384615385,218.71230769230772,0.15384615384615385
RN,2018-04-01,32,27.3125,47.40937499999999,187.55437499999994,0.3125
AP,2017-12-01,4,30.25,42.165000000000006,150.475,0.0
PE,2018-06-01,91,12.461538461538462,39.4443956043956,156.3949450549449,0.02197802197802198
AP,2018-07-01,6,30.833333333333332,43.79833333333334,225.14,0.0
MA,2017-02-01,11,15.636363636363637,27.268181818181816,81.38909090909091,0.0
PI,2018-05-01,30,20.933333333333334,58.241,222.52366666666663,0.2
AM,2017-05-01,8,32.875,28.465000000000003,127.09625,0.125
ES,2017-08-01,94,13.404255319148936,23.432978723404247,139.80691489361695,0.0425531914893617
DF,2018-08-01,143,9.062937062937063,24.82594405594407,139.0321678321679,0.03496503496503497
RN,2016-10-01,4,27.0,38.1625,182.17249999999999,0.0
ES,2018-08-01,103,10.048543689320388,28.222233009708738,159.6799999999999,0.0
RS,2018-08-01,293,9.8839590443686,30.441160409556307,146.22686006825973,0.030716723549488054
MT,2018-07-01,47,12.659574468085106,43.532340425531906,225.52425531914892,0.0
MS,2017-01-01,1,12.0,21.36,149.0,0.0
ES,2017-11-01,168,17.261904761904763,27.048035714285714,142.0164285714287,0.20238095238095238
RO,2017-01-01,3,28.333333333333332,47.77333333333333,227.39666666666668,0.0
MS,2017-02-01,11,20.09090909090909,35.55909090909092,683.6172727272725,0.0
MS,2017-08-01,24,13.208333333333334,26.125833333333333,160.06750000000002,0.0
SP,2018-01-01,2975,9.899495798319327,16.69951596638649,123.90300168067203,0.03428571428571429
RO,2017-03-01,16,21.625,41.17625,116.55375000000001,0.125
AP,2018-05-01,6,23.666666666666668,39.041666666666664,159.28,0.0
AP,2017-07-01,1,17.0,32.49,259.9,0.0
RO,2018-05-01,17,21.058823529411764,53.074705882352944,132.66117647058823,0.0
DF,2018-04-01,146,11.191780821917808,22.468904109589044,124.56705479452053,0.02054794520547945
RS,2017-12-01,278,20.028776978417266,24.418956834532395,150.73723021582768,0.10071942446043165
PB,2018-08-01,28,13.5,52.357499999999995,273.9153571428571,0.07142857142857142
BA,2018-07-01,245,13.510204081632653,32.821755102040825,170.8939183673473,0.061224489795918366
PE,2018-04-01,110,20.6,40.35354545454544,155.19645454545443,0.13636363636363635
MG,2018-04-01,778,11.034704370179949,24.379575835475507,141.19730077120806,0.02442159383033419
PR,2017-02-01,110,14.027272727272727,24.153545454545448,163.2346363636363,0.02727272727272727
RS,2017-06-01,215,12.413953488372092,22.082837209302333,109.39451162790716,0.004651162790697674
PE,2017-08-01,83,21.626506024096386,31.389759036144593,154.75361445783122,0.14457831325301204
AM,2018-06-01,7,18.428571428571427,40.91714285714285,132.10285714285712,0.0
DF,2017-11-01,157,15.02547770700637,24.139299363057308,168.1921019108282,0.11464968152866242
