order_month,seller_state,product_category_name,total_orders,unique_suppliers,avg_product_cost,total_procurement_cost,avg_freight_cost
2017-08,SP,home_construction,1,1,124.8,124.8,16.63
2018-07,SC,industry_commerce_and_business,1,1,3089.0,3089.0,317.47
2017-11,DF,N/A,2,1,89.9,179.8,18.035
2018-05,SP,diapers_and_hygiene,3,2,39.0,117.0,14.216666666666669
2018-01,SP,electronics,228,24,46.652199999999866,11663.049999999967,15.961279999999988
2017-01,RJ,garden_tools,1,1,69.9,209.70000000000002,19.19
2017-02,SP,watches_gifts,34,6,308.5288888888888,11107.039999999997,16.548611111111104
2018-01,SP,stationery,309,28,109.44507788162008,35131.870000000046,17.574735202492203
2017-05,SC,health_beauty,3,3,90.96666666666665,272.9,20.703333333333333
2017-11,SP,home_appliances,24,6,175.66833333333338,4216.040000000001,21.702083333333334
2017-12,SP,kitchen_dining_laundry_garden_furniture,10,6,160.16428571428577,2242.3000000000006,40.40071428571429
2017-10,RJ,furniture_decor,1,1,100.0,100.0,17.95
2018-08,SP,construction_tools_safety,17,11,127.85285714285716,2684.9100000000003,17.156666666666663
2017-07,RS,market_place,2,1,369.9,739.8,21.83
2018-08,PB,electronics,1,1,749.0,749.0,133.87
2018-02,MT,baby,4,1,118.75,475.0,28.572499999999998
2017-01,BA,computers_accessories,1,1,161.55,323.1,21.58
2017-09,SP,small_appliances,25,12,386.1384,9653.46,31.8836
2017-10,SP,luggage_accessories,17,9,196.01411764705884,3332.2400000000002,43.61058823529412
2016-10,SP,fashion_bags_accessories,4,3,54.675,218.7,12.962500000000002
2018-02,SP,fashion_shoes,5,2,137.06,685.3,24.828
2017-02,PR,garden_tools,9,6,222.07799999999997,2220.7799999999997,21.427
2018-03,MT,health_beauty,3,1,61.85,247.4,27.4425
2017-06,MG,sports_leisure,23,9,70.295,2108.85,21.193000000000005
2018-06,RJ,perfumery,33,5,166.27142857142854,5819.499999999999,19.991714285714284
2018-06,SP,bed_bath_table,516,63,84.86136439267919,51001.6800000002,19.387454242928452
2017-08,PR,sports_leisure,60,12,129.60181818181812,8553.719999999996,20.220757575757577
2017-08,RN,furniture_decor,5,1,249.0,1245.0,40.982
2017-08,SC,baby,9,1,66.57777777777777,599.1999999999999,21.853333333333335
2017-03,SP,fixed_telephony,14,9,76.1225,1522.45,15.606
2018-03,MG,N/A,7,3,113.48714285714286,794.41,31.36285714285714
2018-01,SC,baby,7,4,92.54142857142857,647.79,29.225714285714286
2017-10,SP,food,11,2,41.01000000000001,656.1600000000002,12.154374999999998
2018-03,SP,agro_industry_and_commerce,14,3,61.59375,985.5,14.344374999999998
2017-06,MG,garden_tools,8,1,112.49,899.92,37.31375
2018-07,SP,fashion_male_clothing,3,2,47.63333333333333,142.9,15.496666666666668
2018-03,MG,fashion_bags_accessories,17,4,62.041176470588226,1054.6999999999998,23.23411764705882
2018-03,MT,perfumery,1,1,145.0,145.0,57.56
2018-08,SP,fashion_underwear_beach,2,2,109.95,219.9,13.43
2018-01,RS,fashion_bags_accessories,5,1,29.99,149.95,14.7
2017-10,RJ,baby,6,2,241.615,1449.69,30.495
2017-02,MG,pet_shop,8,2,68.3,546.4,15.552499999999998
2017-12,GO,cool_stuff,1,1,63.33,63.33,3.36
2017-08,SP,food_drink,8,4,29.35636363636364,322.92,14.68090909090909
2017-12,MG,furniture_decor,33,12,88.15288888888887,3966.879999999999,27.871333333333332
2018-06,PR,toys,11,5,131.05454545454546,1441.6000000000001,40.25909090909091
2017-08,RJ,fashion_childrens_clothes,1,1,49.9,49.9,16.79
2017-10,MG,housewares,29,12,97.2135483870968,3013.620000000001,28.109677419354846
2018-06,ES,home_construction,1,1,56.9,56.9,18.5
2017-05,SC,costruction_tools_tools,1,1,729.0,729.0,19.27
2018-08,RJ,baby,10,6,76.44916666666666,917.3899999999999,30.749166666666667
2017-10,MG,construction_tools_construction,5,1,304.0,1824.0,48.24333333333334
2017-11,MT,health_beauty,4,1,85.37500000000001,341.50000000000006,23.7475
2017-04,DF,housewares,4,1,31.5,126.0,16.11
2017-10,RS,fashion_bags_accessories,7,2,88.42,618.94,16.587142857142858
2018-02,GO,sports_leisure,10,5,98.12899999999999,981.29,21.857000000000003
2018-06,RS,sports_leisure,4,3,53.9,269.5,18.69
2018-05,PR,furniture_decor,65,9,131.40722222222215,9461.319999999994,28.80263888888889
2017-12,SC,bed_bath_table,13,3,108.62615384615385,1412.14,23.086153846153845
2018-07,SP,office_furniture,58,9,160.89826666666642,12067.36999999998,42.88906666666666
2017-10,SC,cool_stuff,2,2,78.23333333333333,234.70000000000002,25.146666666666665
2018-03,MG,furniture_decor,15,10,76.885,1230.16,22.254375
2018-03,PR,consoles_games,12,3,223.12333333333333,2677.48,32.303333333333335
2016-10,SP,fixed_telephony,4,4,108.745,434.98,13.23
2018-04,RS,N/A,6,3,120.37333333333333,722.24,19.906666666666666
2017-09,RS,sports_leisure,10,3,88.86999999999999,888.6999999999999,21.267000000000003
2017-12,RJ,sports_leisure,26,5,206.9624137931034,6001.909999999998,21.433103448275865
2017-06,GO,cool_stuff,3,2,163.38666666666666,490.15999999999997,21.186666666666667
2017-06,SP,perfumery,125,12,152.52458015267183,19980.72000000001,15.731679389312976
2018-07,MG,bed_bath_table,14,4,62.706250000000004,1003.3000000000001,23.429375
2017-12,PR,fashion_bags_accessories,5,1,89.0,445.0,15.813999999999998
2018-02,PR,computers_accessories,337,13,103.14909722222264,44560.41000000018,16.221481481481486
2018-06,SP,health_beauty,472,114,87.79271217712191,47583.650000000074,15.482841328413299
2018-02,CE,baby,1,1,70.0,70.0,17.77
2017-01,SC,toys,11,1,122.5190909090909,1347.71,22.05727272727273
2017-12,ES,computers_accessories,1,1,32.0,32.0,17.63
2018-08,PR,auto,16,8,92.91947368421052,1765.4699999999998,22.81947368421053
2018-06,MG,perfumery,8,4,213.11125,1704.89,33.09375
2016-10,SC,baby,1,1,159.9,159.9,16.33
